mfcc1_mean,mfcc1_var,mfcc2_mean,mfcc2_var,mfcc3_mean,mfcc3_var,mfcc4_mean,mfcc4_var,mfcc5_mean,mfcc5_var,mfcc6_mean,mfcc6_var,mfcc7_mean,mfcc7_var,mfcc8_mean,mfcc8_var,mfcc9_mean,mfcc9_var,mfcc10_mean,mfcc10_var,mfcc11_mean,mfcc11_var,mfcc12_mean,mfcc12_var,mfcc13_mean,mfcc13_var,mfcc14_mean,mfcc14_var,mfcc15_mean,mfcc15_var,mfcc16_mean,mfcc16_var,mfcc17_mean,mfcc17_var,mfcc18_mean,mfcc18_var,mfcc19_mean,mfcc19_var,mfcc20_mean,mfcc20_var,chroma_stft_mean,chroma_stft_var,rms_mean,rms_var,spectral_centroid_mean,spectral_centroid_var,spectral_bandwidth_mean,spectral_bandwidth_var,rolloff_mean,rolloff_var,zero_crossing_rate_mean,zero_crossing_rate_var,harmony_mean,harmony_var,perceptr_mean,perceptr_var,tempo,onset_rate,beat_strength,filename,length,label
-125.25643,2693.0474,120.20559,238.54132,-18.326477,255.3076,44.870823,190.411,-5.429578,147.77058,20.85241,84.02212,-13.753224,74.9238,16.807833,65.44113,-12.435857,88.69264,11.826387,65.85868,-8.855663,55.629684,9.295366,45.939034,-4.1513925,41.156006,7.1001225,41.041683,-5.662499,55.765972,0.5287198,69.99117,-2.8587706,35.529594,0.30976307,43.51833,-2.6995664,58.701084,2.3687968,48.07255,0.3420697,0.08907335,0.12441264,0.00315553,1782.836092,116521.9445,2020.991068,84079.61096,3845.575277,830191.2986,0.080110979,0.000708605,-4.86E-05,0.008646978,-2.83E-08,0.00479253,123.046875,4.2,1.4034908,blues.00000.0.wav,220500,blues
-104.70713,2518.71,122.2818,421.56512,-16.140684,175.05717,40.836025,140.64806,-10.423074,124.893906,18.005255,98.680115,-12.751393,63.05235,15.966058,62.099377,-12.650309,80.210014,12.169071,50.430645,-7.6829195,69.56852,10.464031,49.287704,-4.378682,41.149227,5.203136,39.675198,-6.205292,36.65492,0.69614774,36.86822,-0.9436277,38.90498,-0.14376618,44.21547,-2.2986982,39.474648,1.4984965,30.919678,0.3665823,0.088140436,0.13515308,0.0028384,1803.933532,180281.4865,2044.581964,90152.40269,3905.403608,1117538.7,0.081564494,0.000884024,-5.62E-05,0.007866824,-5.63E-06,0.006646917,129.1992188,4.4,1.3726671,blues.00000.1.wav,220500,blues
-113.05592,2339.232,125.08428,220.79108,-25.844616,252.86485,44.177784,120.07292,-6.0840325,198.59102,19.723314,80.54624,-17.297222,58.932655,15.89953,75.440704,-14.309294,74.64017,11.360112,68.50368,-10.854089,57.56715,8.8773365,53.141636,-4.600987,39.773895,6.9137106,40.56531,-5.518061,55.335552,2.7789235,49.093685,-2.8500574,34.826042,0.14340018,37.499275,-3.230973,67.547615,0.98561203,59.744312,0.34203914,0.08908639,0.13059968,0.002409943,1767.743609,92109.42035,1944.786234,77465.52668,3673.534477,717310.1484,0.08709646,0.000669119,-4.99E-05,0.007922385,4.51E-05,0.005750202,123.046875,4.9,1.3999001,blues.00000.2.wav,220500,blues
-221.96216,9409.459,131.09808,595.2239,0.5163257,1073.6903,39.070675,229.33597,7.866834,249.59673,17.828434,179.29836,-6.0299377,237.93007,22.621696,108.4698,-5.2310143,170.35182,10.509182,106.36459,-3.1233969,73.5553,6.9221554,87.794716,-1.8947371,64.70545,4.9534035,73.88229,-4.5340466,59.09055,-0.4592263,62.675373,0.49819487,61.233612,0.04064619,48.5083,-1.083865,54.424736,-0.112691045,53.99512,0.35773295,0.09054077,0.09432509,0.002337483,1364.738977,291047.9942,1842.867783,220888.0336,2976.653076,2451295.025,0.055210901,0.001547742,0.000115852,0.005169182,-0.000141159,0.002822901,67.99958882,2.9,1.4897181,blues.00001.0.wav,220500,blues
-222.06569,7080.4595,124.18471,568.98047,11.235549,326.59055,38.641685,348.68814,-0.63454604,248.0372,27.731478,146.908,-12.916885,200.28818,25.12424,151.0993,-14.7499275,147.56696,15.030135,106.04489,-8.055168,145.05559,9.242228,106.89974,-3.0166361,72.68423,3.847944,52.06969,-7.812632,55.2223,4.5468607,55.387775,0.10651493,57.212353,-0.3787878,48.27934,-2.6602447,40.551674,1.0979894,45.815872,0.34606734,0.100866355,0.08780664,0.00207134,1582.759409,444190.2948,2128.024613,205601.0278,3789.768808,3221924.3,0.05295869,0.001366553,0.000151081,0.003870344,-0.000131073,0.003144105,67.99958882,3,1.4742693,blues.00001.1.wav,220500,blues
-182.56636,6181.22,122.23173,502.4952,9.720888,220.38791,34.887306,214.14326,-3.235282,256.26105,23.398188,99.41041,-10.830989,139.7845,26.149284,153.00264,-13.904558,130.12299,13.364053,98.9592,-8.443462,85.772964,2.6174397,84.5379,-4.227805,57.011246,5.935333,91.63152,-7.479047,41.678288,0.32245728,43.775646,-4.087535,53.079548,2.416083,45.20134,1.903581,52.499233,1.4013486,40.426968,0.31551525,0.09145121,0.10519597,0.002554671,1645.204582,349687.1866,2149.623395,155362.9938,3890.540202,2758158.165,0.059677938,0.001391099,0.000142263,0.006281332,-0.000252156,0.003236129,66.25600962,3,1.3751452,blues.00001.2.wav,220500,blues
-99.192795,3043.1897,141.50714,603.0756,-25.696747,336.93274,34.44931,142.81622,-17.03819,187.0575,25.808807,88.764366,-13.154822,131.11537,10.701171,129.58713,-11.356643,75.730316,7.296095,66.77754,-12.971548,58.01219,4.5317373,52.167095,-8.682208,55.27003,-2.329909,56.064034,-8.135827,41.889477,2.912316,37.95322,-6.6510544,53.792316,-2.0424914,48.430813,-2.046611,45.806644,-2.7102468,28.566813,0.38183746,0.08721285,0.16569412,0.002067357,1521.908801,224893.6876,1737.50667,64060.06575,3028.912311,849988.5361,0.070182216,0.00167034,-1.36E-05,0.012943909,-9.15E-06,0.007186064,161.4990234,4.9,1.7027364,blues.00002.0.wav,220500,blues
-100.25638,3884.5215,145.3825,598.30176,-30.947876,382.85648,36.366096,156.7129,-16.55783,159.75359,26.772926,64.701744,-13.655284,114.040886,10.91385,98.07927,-12.976605,83.15643,9.158952,71.4398,-15.287569,81.40921,3.9601717,70.96878,-7.563027,76.89169,-2.083712,69.3667,-9.78974,35.981133,3.095907,46.625145,-9.1252365,45.038727,-2.3020062,41.504704,-3.5250654,50.946815,-1.6115856,32.30683,0.35824245,0.085874185,0.16774414,0.001822307,1508.562189,165746.9402,1696.592481,85349.77969,2979.77564,931272.6897,0.073057524,0.000647241,1.48E-06,0.013828329,-2.31E-05,0.007118153,161.4990234,4.7,1.6903827,blues.00002.1.wav,220500,blues
-74.87908,2663.4595,137.28813,311.48843,-33.392315,492.20404,26.845072,81.89688,-10.955763,91.67608,27.187496,68.67897,-16.654503,64.82782,15.679037,71.52224,-13.261757,37.37667,14.933005,35.380657,-13.262913,32.170902,10.959691,39.44474,-12.383335,34.88498,3.0192807,30.568102,-11.459057,28.16472,2.9966488,37.817055,-8.874141,44.90036,0.30274054,63.714066,-6.0264173,36.018173,-1.2784461,30.620712,0.35367277,0.08191456,0.19257936,0.003935038,1627.592548,69085.20327,1809.890882,72283.10256,3112.097423,556124.3684,0.085198847,0.000585158,9.98E-06,0.022224708,-8.84E-06,0.008035718,161.4990234,5.7,1.5205629,blues.00002.2.wav,220500,blues
-214.5671,5861.4263,156.5712,502.347,2.786299,298.79907,26.744759,136.98299,4.976554,219.2119,9.361402,102.35222,-1.3256437,138.03754,10.197515,61.474545,2.4535098,69.04349,8.810805,46.9557,2.4873328,56.731346,4.6937995,31.846884,-2.3635607,29.721678,-0.87711823,39.32474,-3.4251275,41.17031,-0.2864683,33.74574,0.22118942,31.277645,2.4319632,30.608065,1.2847526,26.675756,-2.1963785,31.128378,0.39201808,0.09482747,0.14035161,0.007434868,947.1668591,136039.6838,1427.663142,122932.8289,1864.670472,950074.2786,0.030092173,0.000291096,2.29E-05,0.021001244,2.17E-06,0.002335927,63.02400915,2.4,1.2154057,blues.00003.0.wav,220500,blues
